dexnum,name,generation,type1,type2
852,Clobbopus,8,Fighting,
853,Grapploct,8,Fighting,
854,Sinistea,8,Ghost,
855,Polteageist,8,Ghost,
856,Hatenna,8,Psychic,
857,Hattrem,8,Psychic,
858,Hatterene,8,Psychic,Fairy
859,Impidimp,8,Dark,Fairy
860,Morgrem,8,Dark,Fairy
861,Grimmsnarl,8,Dark,Fairy
862,Obstagoon,8,Dark,Normal
863,Perrserker,8,Steel,
864,Cursola,8,Ghost,
865,Sirfetch'd,8,Fighting,
866,Mr. Rime,8,Ice,Psychic
867,Runerigus,8,Ground,Ghost
868,Milcery,8,Fairy,
869,Alcremie,8,Fairy,
870,Falinks,8,Fighting,
871,Pincurchin,8,Electric,
872,Snom,8,Ice,Bug
873,Frosmoth,8,Ice,Bug
874,Stonjourner,8,Rock,
875,Eiscue,8,Ice,
876,Indeedee,8,Psychic,Normal
877,Morpeko,8,Electric,Dark
878,Cufant,8,Steel,
879,Copperajah,8,Steel,
880,Dracozolt,8,Electric,Dragon
881,Arctozolt,8,Electric,Ice
882,Dracovish,8,Water,Dragon
883,Arctovish,8,Water,Ice
884,Duraludon,8,Steel,Dragon
885,Dreepy,8,Dragon,Ghost
886,Drakloak,8,Dragon,Ghost
887,Dragapult,8,Dragon,Ghost
888,Zacian,8,Fairy,
889,Zamazenta,8,Fighting,
890,Eternatus,8,Poison,Dragon
891,Kubfu,8,Fighting,
892,Urshifu,8,Fighting,Dark
893,Zarude,8,Dark,Grass
894,Regieleki,8,Electric,
895,Regidrago,8,Dragon,
896,Glastrier,8,Ice,
897,Spectrier,8,Ghost,
898,Calyrex,8,Psychic,Grass
899,Wyrdeer,8,Normal,Psychic
900,Kleavor,8,Bug,Rock
901,Ursaluna,8,Ground,Normal
902,Basculegion,8,Water,Ghost
903,Sneasler,8,Fighting,Poison
904,Overqwil,8,Dark,Poison
905,Enamorus,8,Fairy,Flying
906,Sprigatito,9,Grass,
907,Floragato,9,Grass,
908,Meowscarada,9,Grass,Dark
909,Fuecoco,9,Fire,
910,Crocalor,9,Fire,
911,Skeledirge,9,Fire,Ghost
912,Quaxly,9,Water,
913,Quaxwell,9,Water,
914,Quaquaval,9,Water,Fighting
915,Lechonk,9,Normal,
916,Oinkologne,9,Normal,
917,Tarountula,9,Bug,
918,Spidops,9,Bug,
919,Nymble,9,Bug,
920,Lokix,9,Bug,Dark
921,Pawmi,9,Electric,
922,Pawmo,9,Electric,Fighting
923,Pawmot,9,Electric,Fighting
924,Tandemaus,9,Normal,
925,Maushold,9,Normal,
926,Fidough,9,Fairy,
927,Dachsbun,9,Fairy,
928,Smoliv,9,Grass,Normal
929,Dolliv,9,Grass,Normal
930,Arboliva,9,Grass,Normal
931,Squawkabilly,9,Normal,Flying
932,Nacli,9,Rock,
933,Naclstack,9,Rock,
934,Garganacl,9,Rock,
935,Charcadet,9,Fire,
936,Armarouge,9,Fire,Psychic
937,Ceruledge,9,Fire,Ghost
938,Tadbulb,9,Electric,
939,Bellibolt,9,Electric,
940,Wattrel,9,Electric,Flying
941,Kilowattrel,9,Electric,Flying
942,Maschiff,9,Dark,
943,Mabosstiff,9,Dark,
944,Shroodle,9,Poison,Normal
945,Grafaiai,9,Poison,Normal
946,Bramblin,9,Grass,Ghost
947,Brambleghast,9,Grass,Ghost
948,Toedscool,9,Ground,Grass
949,Toedscruel,9,Ground,Grass
950,Klawf,9,Rock,
951,Capsakid,9,Grass,
952,Scovillain,9,Grass,Fire
953,Rellor,9,Bug,
954,Rabsca,9,Bug,Psychic
955,Flittle,9,Psychic,
956,Espathra,9,Psychic,
957,Tinkatink,9,Fairy,Steel
958,Tinkatuff,9,Fairy,Steel
959,Tinkaton,9,Fairy,Steel
960,Wiglett,9,Water,
961,Wugtrio,9,Water,
962,Bombirdier,9,Flying,Dark
963,Finizen,9,Water,
964,Palafin,9,Water,
965,Varoom,9,Steel,Poison
966,Revavroom,9,Steel,Poison
967,Cyclizar,9,Dragon,Normal
968,Orthworm,9,Steel,
969,Glimmet,9,Rock,Poison
970,Glimmora,9,Rock,Poison
971,Greavard,9,Ghost,
972,Houndstone,9,Ghost,
973,Flamigo,9,Flying,Fighting
974,Cetoddle,9,Ice,
975,Cetitan,9,Ice,
976,Veluza,9,Water,Psychic
977,Dondozo,9,Water,
978,Tatsugiri,9,Dragon,Water
979,Annihilape,9,Fighting,Ghost
980,Clodsire,9,Poison,Ground
981,Farigiraf,9,Normal,Psychic
982,Dudunsparce,9,Normal,
983,Kingambit,9,Dark,Steel
984,Great Tusk,9,Ground,Fighting
985,Scream Tail,9,Fairy,Psychic
986,Brute Bonnet,9,Grass,Dark
987,Flutter Mane,9,Ghost,Fairy
988,Slither Wing,9,Bug,Fighting
989,Sandy Shocks,9,Electric,Ground
990,Iron Treads,9,Ground,Steel
991,Iron Bundle,9,Ice,Water
992,Iron Hands,9,Fighting,Electric
993,Iron Jugulis,9,Dark,Flying
994,Iron Moth,9,Fire,Poison
995,Iron Thorns,9,Rock,Electric
996,Frigibax,9,Dragon,Ice
997,Arctibax,9,Dragon,Ice
998,Baxcalibur,9,Dragon,Ice
999,Gimmighoul,9,Ghost,
1000,Gholdengo,9,Steel,Ghost
1001,Wo-Chien,9,Dark,Grass
1002,Chien-Pao,9,Dark,Ice
1003,Ting-Lu,9,Dark,Ground
1004,Chi-Yu,9,Dark,Fire
1005,Roaring Moon,9,Dragon,Dark
1006,Iron Valiant,9,Fairy,Fighting
1007,Koraidon,9,Fighting,Dragon
1008,Miraidon,9,Electric,Dragon
1009,Walking Wake,9,Water,Dragon
1010,Iron Leaves,9,Grass,Psychic
1011,Dipplin,9,Grass,Dragon
1012,Poltchageist,9,Grass,Ghost
1013,Sinistcha,9,Grass,Ghost
1014,Okidogi,9,Poison,Fighting
1015,Munkidori,9,Poison,Psychic
1016,Fezandipiti,9,Poison,Fairy
1017,Ogerpon,9,Grass,
1018,Archaludon,9,Steel,Dragon
1019,Hydrapple,9,Grass,Dragon
1020,Gouging Fire,9,Fire,Dragon
1021,Raging Bolt,9,Electric,Dragon
1022,Iron Boulder,9,Rock,Psychic
1023,Iron Crown,9,Steel,Psychic
1024,Terapagos,9,Normal,
1025,Pecharunt,9,Poison,Ghost
